"","c..AL627309.1....AL627309.5....LINC01409....LINC01128....LINC00115..."
"5980","AC016575.2"
"5981","LINC02149"
"5982","FBXL7"
"5983","AC010638.1"
"5984","MARCH11"
"5985","ZNF622"
"5986","RETREG1"
"5987","AC024588.1"
"5988","MYO10"
"5989","BASP1-AS1"
"5990","LINC02223"
"5991","LINC02100"
"5992","CDH18"
"5993","LINC02241"
"5994","AC140168.1"
"5995","AC093274.1"
"5996","AC091946.2"
"5997","AC091946.1"
"5998","CDH12"
"5999","C5orf17"
"6000","AC114930.1"
"6001","CDH9"
"6002","PURPL"
"6003","AC008825.1"
"6004","AC109472.1"
"6005","LINC02109"
"6006","AC099517.1"
"6007","AC026433.1"
"6008","AC113386.1"
"6009","CDH6"
"6010","DROSHA"
"6011","C5orf22"
"6012","PDZD2"
"6013","AC025178.1"
"6014","GOLPH3"
"6015","AC025181.2"
"6016","MTMR12"
"6017","ZFR"
"6018","SUB1"
"6019","LINC02061"
"6020","NPR3"
"6021","AC010343.3"
"6022","AC034223.1"
"6023","LINC02160"
"6024","AC034231.1"
"6025","TARS"
"6026","ADAMTS12"
"6027","SLC45A2"
"6028","AMACR"
"6029","C1QTNF3"
"6030","AC138409.3"
"6031","RAI14"
"6032","AC026801.2"
"6033","TTC23L"
"6034","RAD1"
"6035","BRIX1"
"6036","DNAJC21"
"6037","AGXT2"
"6038","PRLR"
"6039","SPEF2"
"6040","AC137810.1"
"6041","IL7R"
"6042","CAPSL"
"6043","UGT3A1"
"6044","LMBRD2"
"6045","SKP2"
"6046","NADK2"
"6047","RANBP3L"
"6048","AC026741.1"
"6049","NIPBL-DT"
"6050","NIPBL"
"6051","CPLANE1"
"6052","AC025449.2"
"6053","NUP155"
"6054","WDR70"
"6055","GDNF-AS1"
"6056","GDNF"
"6057","LINC02119"
"6058","EGFLAM"
"6059","LIFR"
"6060","LIFR-AS1"
"6061","OSMR-AS1"
"6062","OSMR"
"6063","RICTOR"
"6064","AC008964.1"
"6065","FYB1"
"6066","C9"
"6067","DAB2"
"6068","TTC33"
"6069","PTGER4"
"6070","PRKAA1"
"6071","RPL37"
"6072","CARD6"
"6073","C7"
"6074","C6"
"6075","PLCXD3"
"6076","OXCT1"
"6077","C5orf51"
"6078","FBXO4"
"6079","GHR"
"6080","CCDC152"
"6081","SELENOP"
"6082","AC008945.2"
"6083","AC008875.1"
"6084","AC025171.1"
"6085","AC025171.2"
"6086","AC025171.4"
"6087","ZNF131"
"6088","NIM1K"
"6089","HMGCS1"
"6090","CCL28"
"6091","TMEM267"
"6092","AC114956.3"
"6093","C5orf34"
"6094","AC114956.2"
"6095","AC114956.1"
"6096","PAIP1"
"6097","NNT-AS1"
"6098","NNT"
"6099","FGF10"
"6100","FGF10-AS1"
"6101","LINC02224"
"6102","MRPS30-DT"
"6103","AC093297.1"
"6104","MRPS30"
"6105","AC093297.2"
"6106","HCN1"
"6107","EMB"
"6108","PARP8"
"6109","AC022126.1"
"6110","PELO"
"6111","ITGA1"
"6112","AC025180.1"
"6113","ITGA2"
"6114","AC008966.3"
"6115","AC008966.2"
"6116","MOCS2"
"6117","AC008966.1"
"6118","FST"
"6119","NDUFS4"
"6120","ARL15"
"6121","AC025175.2"
"6122","LINC01033"
"6123","SNX18"
"6124","AC016583.2"
"6125","GPX8"
"6126","CCNO"
"6127","AC026704.1"
"6128","DHX29"
"6129","MTREX"
"6130","PLPP1"
"6131","SLC38A9"
"6132","IL31RA"
"6133","IL6ST"
"6134","AC008914.1"
"6135","AC008892.1"
"6136","AC016596.1"
"6137","ANKRD55"
"6138","AC034245.1"
"6139","LINC01948"
"6140","C5orf67"
"6141","AC022431.1"
"6142","MAP3K1"
"6143","AC008937.2"
"6144","SETD9"
"6145","MIER3"
"6146","AC016644.1"
"6147","GPBP1"
"6148","PLK2"
"6149","RAB3C"
"6150","PDE4D"
"6151","AC092343.1"
"6152","AC034234.1"
"6153","PART1"
"6154","DEPDC1B"
"6155","ELOVL7"
"6156","AC104113.1"
"6157","ERCC8"
"6158","NDUFAF2"
"6159","SMIM15"
"6160","SMIM15-AS1"
"6161","LINC02057"
"6162","ZSWIM6"
"6163","C5orf64"
"6164","AC008877.1"
"6165","KIF2A"
"6166","DIMT1"
"6167","IPO11"
"6168","AC122707.1"
"6169","RNF180"
"6170","RGS7BP"
"6171","SREK1IP1"
"6172","CWC27"
"6173","ADAMTS6"
"6174","CENPK"
"6175","PPWD1"
"6176","TRIM23"
"6177","SHLD3"
"6178","TRAPPC13"
"6179","SGTB"
"6180","NLN"
"6181","ERBIN"
"6182","AC010359.3"
"6183","AC025442.2"
"6184","SREK1"
"6185","AC092353.1"
"6186","AC092353.2"
"6187","MAST4"
"6188","MAST4-IT1"
"6189","AC112206.2"
"6190","LINC02242"
"6191","AC106798.1"
"6192","PIK3R1"
"6193","AC010280.1"
"6194","AC093523.1"
"6195","LINC02198"
"6196","AC010273.3"
"6197","SLC30A5"
"6198","AC010273.2"
"6199","CCNB1"
"6200","CENPH"
"6201","MRPS36"
"6202","CDK7"
"6203","CCDC125"
"6204","AK6"
"6205","TAF9"
"6206","RAD17"
"6207","MARVELD2"
"6208","AC145146.1"
"6209","OCLN"
"6210","GTF2H2C"
"6211","SERF1B"
"6212","SMN2"
"6213","AC146944.4"
"6214","SERF1A"
"6215","SMN1"
"6216","NAIP"
"6217","GTF2H2"
"6218","LINC02197"
"6219","BDP1"
"6220","MCCC2"
"6221","AC025774.1"
"6222","MAP1B"
"6223","MRPS27"
"6224","PTCD2"
"6225","ZNF366"
"6226","LINC02056"
"6227","AC063979.2"
"6228","AC035140.1"
"6229","TNPO1"
"6230","FCHO2"
"6231","TMEM171"
"6232","AC116345.3"
"6233","AC116345.4"
"6234","AC116345.1"
"6235","FOXD1"
"6236","ANKRA2"
"6237","UTP15"
"6238","ARHGEF28"
"6239","LINC01331"
"6240","ENC1"
"6241","HEXB"
"6242","GFM2"
"6243","NSA2"
"6244","FAM169A"
"6245","AC116337.3"
"6246","GCNT4"
"6247","ANKRD31"
"6248","HMGCR"
"6249","CERT1"
"6250","POLK"
"6251","AC010245.2"
"6252","ANKDD1B"
"6253","POC5"
"6254","SV2C"
"6255","IQGAP2"
"6256","AC025188.1"
"6257","F2R"
"6258","F2RL1"
"6259","S100Z"
"6260","CRHBP"
"6261","AGGF1"
"6262","ZBED3"
"6263","ZBED3-AS1"
"6264","PDE8B"
"6265","WDR41"
"6266","TBCA"
"6267","AP3B1"
"6268","SCAMP1-AS1"
"6269","SCAMP1"
"6270","LHFPL2"
"6271","ARSB"
"6272","DMGDH"
"6273","BHMT2"
"6274","BHMT"
"6275","JMY"
"6276","HOMER1"
"6277","TENT2"
"6278","CMYA5"
"6279","AC008496.2"
"6280","LINC01455"
"6281","MTX3"
"6282","THBS4"
"6283","AC012636.1"
"6284","SERINC5"
"6285","AC010260.1"
"6286","ZFYVE16"
"6287","AC008771.1"
"6288","FAM151B"
"6289","ANKRD34B"
"6290","LINC01337"
"6291","DHFR"
"6292","MSH3"
"6293","RASGRF2-AS1"
"6294","RASGRF2"
"6295","CKMT2-AS1"
"6296","CKMT2"
"6297","ZCCHC9"
"6298","ACOT12"
"6299","AC010623.1"
"6300","SSBP2"
"6301","ATG10"
"6302","ATP6AP1L"
"6303","LINC01338"
"6304","AC104118.1"
"6305","TMEM167A"
"6306","XRCC4"
"6307","VCAN"
"6308","VCAN-AS1"
"6309","EDIL3"
"6310","AC113383.1"
"6311","COX7C"
"6312","AC109492.1"
"6313","LINC01949"
"6314","RASA1"
"6315","CCNH"
"6316","AC018754.1"
"6317","LINC02144"
"6318","AC114971.1"
"6319","TMEM161B"
"6320","TMEM161B-AS1"
"6321","LINC02060"
"6322","LINC00461"
"6323","MEF2C-AS2"
"6324","MEF2C"
"6325","MEF2C-AS1"
"6326","AC113167.1"
"6327","CETN3"
"6328","MBLAC2"
"6329","POLR3G"
"6330","LYSMD3"
"6331","ADGRV1"
"6332","ARRDC3"
"6333","ARRDC3-AS1"
"6334","AC093298.2"
"6335","AC114316.1"
"6336","AC124854.1"
"6337","LINC02058"
"6338","NR2F1-AS1"
"6339","NR2F1"
"6340","FAM172A"
"6341","AC106818.2"
"6342","POU5F2"
"6343","AC099501.1"
"6344","AC114980.1"
"6345","AC117528.1"
"6346","KIAA0825"
"6347","SLF1"
"6348","MCTP1"
"6349","FAM81B"
"6350","TTC37"
"6351","ARSK"
"6352","RFESD"
"6353","SPATA9"
"6354","AC008840.1"
"6355","RHOBTB3"
"6356","GLRX"
"6357","LINC01554"
"6358","ELL2"
"6359","AC104123.1"
"6360","AC008592.2"
"6361","PCSK1"
"6362","CAST"
"6363","AC020900.1"
"6364","ERAP1"
"6365","AC008906.1"
"6366","AC008906.2"
"6367","AC009126.1"
"6368","ERAP2"
"6369","LNPEP"
"6370","LIX1-AS1"
"6371","LIX1"
"6372","RIOK2"
"6373","AC008883.3"
"6374","AC008883.1"
"6375","LINC01340"
"6376","AC122697.1"
"6377","LINC02234"
"6378","RGMB"
"6379","RGMB-AS1"
"6380","AC008522.1"
"6381","CHD1"
"6382","LINC02062"
"6383","AC113385.1"
"6384","AC021086.1"
"6385","FAM174A"
"6386","ST8SIA4"
"6387","SLCO4C1"
"6388","SLCO6A1"
"6389","LINC00491"
"6390","AC099487.2"
"6391","PAM"
"6392","GIN1"
"6393","PPIP5K2"
"6394","C5orf30"
"6395","LINC02115"
"6396","NUDT12"
"6397","AC099520.1"
"6398","LINC01950"
"6399","EFNA5"
"6400","FBXL17"
"6401","AC008462.1"
"6402","LINC01023"
"6403","FER"
"6404","AC008871.1"
"6405","AC116428.1"
"6406","AC008467.1"
"6407","PJA2"
"6408","MAN2A1"
"6409","TMEM232"
"6410","SLC25A46"
"6411","TSLP"
"6412","WDR36"
"6413","CAMK4"
"6414","STARD4"
"6415","STARD4-AS1"
"6416","NREP"
"6417","NREP-AS1"
"6418","EPB41L4A"
"6419","EPB41L4A-AS1"
"6420","AC010261.1"
"6421","AC010261.2"
"6422","AC104126.1"
"6423","APC"
"6424","SRP19"
"6425","REEP5"
"6426","DCP2"
"6427","MCC"
"6428","AC079465.1"
"6429","YTHDC2"
"6430","KCNN2"
"6431","TRIM36"
"6432","PGGT1B"
"6433","CCDC112"
"6434","FEM1C"
"6435","TICAM2"
"6436","AC010226.1"
"6437","TMED7"
"6438","AC008549.2"
"6439","CDO1"
"6440","ATG12"
"6441","AP3S1"
"6442","LVRN"
"6443","ARL14EPL"
"6444","AC034236.2"
"6445","COMMD10"
"6446","AC018752.1"
"6447","SEMA6A"
"6448","SEMA6A-AS1"
"6449","SEMA6A-AS2"
"6450","LINC00992"
"6451","LINC02147"
"6452","LINC02208"
"6453","AC093206.1"
"6454","DTWD2"
"6455","AC008629.1"
"6456","DMXL1"
"6457","TNFAIP8"
"6458","HSD17B4"
"6459","PRR16"
"6460","AC008568.1"
"6461","SRFBP1"
"6462","LOX"
"6463","AC010255.1"
"6464","AC010255.3"
"6465","SNCAIP"
"6466","AC119150.1"
"6467","AC022101.1"
"6468","LINC02201"
"6469","SNX2"
"6470","SNX24"
"6471","PPIC"
"6472","AC106786.2"
"6473","PRDM6"
"6474","CEP120"
"6475","CSNK1G3"
"6476","AC025465.1"
"6477","ZNF608"
"6478","AC112196.1"
"6479","AC113398.2"
"6480","LINC02240"
"6481","AC116362.1"
"6482","GRAMD2B"
"6483","AC093535.1"
"6484","ALDH7A1"
"6485","PHAX"
"6486","LMNB1-DT"
"6487","LMNB1"
"6488","MARCH3"
"6489","C5orf63"
"6490","AC011416.3"
"6491","AC011416.4"
"6492","PRRC1"
"6493","CCDC192"
"6494","AC068658.1"
"6495","LINC01184"
"6496","SLC12A2"
"6497","FBN2"
"6498","SLC27A6"
"6499","ISOC1"
"6500","AC008679.1"
"6501","ADAMTS19-AS1"
"6502","ADAMTS19"
"6503","AC008591.1"
"6504","MINAR2"
"6505","CHSY3"
"6506","AC006525.1"
"6507","HINT1"
"6508","LYRM7"
"6509","CDC42SE2"
"6510","RAPGEF6"
"6511","FNIP1"
"6512","MEIKIN"
"6513","ACSL6"
"6514","P4HA2-AS1"
"6515","P4HA2"
"6516","PDLIM4"
"6517","SLC22A4"
"6518","MIR3936HG"
"6519","SLC22A5"
"6520","C5orf56"
"6521","AC116366.2"
"6522","AC116366.1"
"6523","IRF1"
"6524","IL5"
"6525","RAD50"
"6526","TH2LCRR"
"6527","AC004039.1"
"6528","KIF3A"
"6529","SEPTIN8"
"6530","SOWAHA"
"6531","SHROOM1"
"6532","GDF9"
"6533","UQCRQ"
"6534","LEAP2"
"6535","AFF4"
"6536","ZCCHC10"
"6537","AC113410.5"
"6538","AC113410.4"
"6539","HSPA4"
"6540","AC010307.2"
"6541","FSTL4"
"6542","AC010307.4"
"6543","C5orf15"
"6544","VDAC1"
"6545","AC008608.2"
"6546","TCF7"
"6547","SKP1"
"6548","PPP2CA"
"6549","CDKL3"
"6550","UBE2B"
"6551","AC109454.2"
"6552","CDKN2AIPNL"
"6553","AC005355.1"
"6554","LINC01843"
"6555","JADE2"
"6556","SAR1B"
"6557","SEC24A"
"6558","CAMLG"
"6559","DDX46"
"6560","C5orf24"
"6561","TXNDC15"
"6562","PCBD2"
"6563","CATSPER3"
"6564","C5orf66"
"6565","H2AFY"
"6566","AC034206.1"
"6567","CXCL14"
"6568","SLC25A48"
"6569","AC114296.1"
"6570","LECT2"
"6571","TGFBI"
"6572","SMAD5"
"6573","SMIM32"
"6574","TRPC7"
"6575","TRPC7-AS1"
"6576","SPOCK1"
"6577","KLHL3"
"6578","HNRNPA0"
"6579","AC106791.1"
"6580","MYOT"
"6581","PKD2L2"
"6582","FAM13B"
"6583","NME5"
"6584","BRD8"
"6585","CDC23"
"6586","CDC25C"
"6587","FAM53C"
"6588","KDM3B"
"6589","REEP2"
"6590","EGR1"
"6591","ETF1"
"6592","HSPA9"
"6593","CTNNA1"
"6594","LRRTM2"
"6595","SIL1"
"6596","AC011405.1"
"6597","MATR3"
"6598","SNHG4"
"6599","MATR3.1"
"6600","PAIP2"
"6601","SLC23A1"
"6602","MZB1"
"6603","PROB1"
"6604","SPATA24"
"6605","DNAJC18"
"6606","ECSCR"
"6607","TMEM173"
"6608","UBE2D2"
"6609","CXXC5"
"6610","AC008667.1"
"6611","AC008667.4"
"6612","NRG2"
"6613","MALINC1"
"6614","PURA"
"6615","IGIP"
"6616","AC011379.2"
"6617","CYSTM1"
"6618","AC011379.1"
"6619","PFDN1"
"6620","HBEGF"
"6621","SLC4A9"
"6622","AC008438.1"
"6623","ANKHD1"
"6624","SRA1"
"6625","EIF4EBP3"
"6626","APBB3"
"6627","SLC35A4"
"6628","NDUFA2"
"6629","TMCO6"
"6630","IK"
"6631","WDR55"
"6632","DND1"
"6633","HARS"
"6634","HARS2"
"6635","ZMAT2"
"6636","AC005609.5"
"6637","PCDHA4"
"6638","PCDHA5"
"6639","PCDHA6"
"6640","PCDHA9"
"6641","PCDHA10"
"6642","PCDHA11"
"6643","PCDHA12"
"6644","AC005609.1"
"6645","PCDHA13"
"6646","PCDHAC1"
"6647","AC244517.5"
"6648","PCDHB1"
"6649","PCDHB2"
"6650","AC244517.2"
"6651","PCDHB3"
"6652","AC244517.1"
"6653","PCDHB4"
"6654","PCDHB5"
"6655","AC244517.11"
"6656","PCDHB7"
"6657","PCDHB16"
"6658","PCDHB9"
"6659","PCDHB10"
"6660","PCDHB11"
"6661","PCDHB12"
"6662","PCDHB13"
"6663","PCDHB14"
"6664","PCDHB15"
"6665","TAF7"
"6666","PCDHGA2"
"6667","PCDHGA3"
"6668","PCDHGB2"
"6669","PCDHGA5"
"6670","PCDHGA6"
"6671","PCDHGA7"
"6672","PCDHGB4"
"6673","PCDHGA8"
"6674","PCDHGB5"
"6675","PCDHGA9"
"6676","PCDHGB6"
"6677","PCDHGA10"
"6678","PCDHGB7"
"6679","PCDHGA11"
"6680","PCDHGA12"
"6681","AC008781.3"
"6682","PCDHGC3"
"6683","DIAPH1"
"6684","AC008781.2"
"6685","AC008781.1"
"6686","HDAC3"
"6687","RELL2"
"6688","FCHSD1"
"6689","ARAP3"
"6690","AC005753.2"
"6691","AC005753.3"
"6692","PCDH1"
"6693","AC005740.5"
"6694","DELE1"
"6695","PCDH12"
"6696","AC005740.4"
"6697","RNF14"
"6698","AC005740.3"
"6699","GNPDA1"
"6700","NDFIP1"
"6701","SPRY4"
"6702","SPRY4-AS1"
"6703","FGF1"
"6704","LINC01844"
"6705","ARHGAP26"
"6706","ARHGAP26-AS1"
"6707","NR3C1"
"6708","AC008696.2"
"6709","YIPF5"
"6710","KCTD16"
"6711","AC109441.1"
"6712","AC132803.1"
"6713","AC137770.1"
"6714","AC008700.1"
"6715","PRELID2"
"6716","SH3RF2"
"6717","PLAC8L1"
"6718","AC091887.1"
"6719","LARS"
"6720","RBM27"
"6721","AC011396.2"
"6722","TCERG1"
"6723","PPP2R2B"
"6724","STK32A-AS1"
"6725","STK32A"
"6726","DPYSL3"
"6727","JAKMIP2"
"6728","SPINK1"
"6729","SPINK5"
"6730","AC011346.1"
"6731","MARCOL"
"6732","SPINK13"
"6733","SPINK9"
"6734","FBXO38"
"6735","AC114939.1"
"6736","HTR4"
"6737","ADRB2"
"6738","SH3TC2"
"6739","SH3TC2-DT"
"6740","ABLIM3"
"6741","AC012613.1"
"6742","AFAP1L1"
"6743","AC131025.3"
"6744","GRPEL2"
"6745","GRPEL2-AS1"
"6746","PCYOX1L"
"6747","IL17B"
"6748","CARMN"
"6749","AC131025.2"
"6750","CSNK1A1"
"6751","ARHGEF37"
"6752","PPARGC1B"
"6753","PDE6A"
"6754","SLC26A2"
"6755","TIGD6"
"6756","HMGXB3"
"6757","PDGFRB"
"6758","CAMK2A"
"6759","TCOF1"
"6760","NDST1-AS1"
"6761","NDST1"
"6762","SYNPO"
"6763","AC011383.1"
"6764","AC008453.2"
"6765","MYOZ3"
"6766","RBM22"
"6767","DCTN4"
"6768","SMIM3"
"6769","IRGM"
"6770","ZNF300"
"6771","GPX3"
"6772","TNIP1"
"6773","ANXA6"
"6774","CCDC69"
"6775","GM2A"
"6776","SLC36A2"
"6777","SLC36A1"
"6778","FAT2"
"6779","AC011337.1"
"6780","SPARC"
"6781","CLMAT3"
"6782","ATOX1"
"6783","AC091982.1"
"6784","G3BP1"
"6785","GLRA1"
"6786","LINC01933"
"6787","AC008571.2"
"6788","LINC01470"
"6789","FAM114A2"
"6790","MFAP3"
"6791","GALNT10"
"6792","SAP30L-AS1"
"6793","AC008625.1"
"6794","SAP30L"
"6795","LARP1"
"6796","FAXDC2"
"6797","CNOT8"
"6798","GEMIN5"
"6799","MRPL22"
"6800","AC010476.2"
"6801","SGCD"
"6802","AC025434.1"
"6803","TIMD4"
"6804","HAVCR1"
"6805","HAVCR2"
"6806","AC011377.1"
"6807","MED7"
"6808","ITK"
"6809","AC009185.1"
"6810","CYFIP2"
"6811","FNDC9"
"6812","AC008676.1"
"6813","ADAM19"
"6814","AC106801.1"
"6815","SOX30"
"6816","THG1L"
"6817","LSM11"
"6818","CLINT1"
"6819","AC091939.1"
"6820","EBF1"
"6821","AC136424.2"
"6822","LINC02202"
"6823","RNF145"
"6824","AC134043.2"
"6825","UBLCP1"
"6826","AC008691.1"
"6827","LINC01847"
"6828","ADRA1B"
"6829","TTC1"
"6830","PWWP2A"
"6831","FABP6"
"6832","CCNJL"
"6833","C1QTNF2"
"6834","ZBED8"
"6835","SLU7"
"6836","MIR3142HG"
"6837","ATP10B"
"6838","AC008456.1"
"6839","GABRB2"
"6840","AC113414.1"
"6841","CCNG1"
"6842","NUDCD2"
"6843","HMMR"
"6844","MAT2B"
"6845","AC008662.1"
"6846","AC109466.1"
"6847","LINC02143"
"6848","AC008415.1"
"6849","AC114321.1"
"6850","TENM2"
"6851","AC011369.1"
"6852","AC026689.1"
"6853","WWC1"
"6854","RARS"
"6855","PANK3"
"6856","SLIT3"
"6857","AC011389.1"
"6858","SPDL1"
"6859","DOCK2"
"6860","INSYN2B"
"6861","FOXI1"
"6862","LINC01187"
"6863","LCP2"
"6864","KCNIP1"
"6865","AC008619.1"
"6866","AC027312.1"
"6867","AC008514.1"
"6868","GABRP"
"6869","RANBP17"
"6870","NPM1"
"6871","FGF18"
"6872","FBXW11"
"6873","STK10"
"6874","UBTD2"
"6875","SH3PXD2B"
"6876","NEURL1B"
"6877","AC027309.1"
"6878","AC022217.3"
"6879","DUSP1"
"6880","ERGIC1"
"6881","AC008429.1"
"6882","AC008429.3"
"6883","RPL26L1"
"6884","ATP6V0E1"
"6885","CREBRF"
"6886","BNIP1"
"6887","BOD1"
"6888","LINC01942"
"6889","AC008674.1"
"6890","LINC01485"
"6891","CPEB4"
"6892","C5orf47"
"6893","LINC01411"
"6894","SFXN1"
"6895","HRH2"
"6896","CPLX2"
"6897","AC138965.2"
"6898","THOC3"
"6899","FAM153B"
"6900","AC139491.8"
"6901","AC139493.2"
"6902","SIMC1"
"6903","KIAA1191"
"6904","AC138956.1"
"6905","AC138956.2"
"6906","ARL10"
"6907","NOP16"
"6908","CLTB"
"6909","FAF2"
"6910","RNF44"
"6911","CDHR2"
"6912","TSPAN17"
"6913","UNC5A"
"6914","UIMC1"
"6915","ZNF346"
"6916","ZNF346-IT1"
"6917","FGFR4"
"6918","NSD1"
"6919","AC146507.3"
"6920","RAB24"
"6921","MXD3"
"6922","PRELID1"
"6923","LMAN2"
"6924","RGS14"
"6925","F12"
"6926","GRK6"
"6927","PRR7-AS1"
"6928","DBN1"
"6929","PDLIM7"
"6930","DOK3"
"6931","DDX41"
"6932","FAM193B"
"6933","TMED9"
"6934","B4GALT7"
"6935","AC139795.2"
"6936","AC138819.1"
"6937","FAM153A"
"6938","AC106795.3"
"6939","AC106795.2"
"6940","FAM153CP"
"6941","N4BP3"
"6942","RMND5B"
"6943","NHP2"
"6944","HNRNPAB"
"6945","PHYKPL"
"6946","COL23A1"
"6947","CLK4"
"6948","ZNF354A"
"6949","ZNF354B"
"6950","ZFP2"
"6951","ZNF454"
"6952","AC104117.3"
"6953","GRM6"
"6954","ZNF879"
"6955","ZNF354C"
"6956","ADAMTS2"
"6957","RUFY1"
"6958","AC136604.2"
"6959","HNRNPH1"
"6960","AC136604.3"
"6961","CBY3"
"6962","CANX"
"6963","MAML1"
"6964","LTC4S"
"6965","MGAT4B"
"6966","SQSTM1"
"6967","MRNIP"
"6968","AC008393.1"
"6969","TBC1D9B"
"6970","RNF130"
"6971","RASGEF1C"
"6972","MAPK9"
"6973","AC008610.1"
"6974","GFPT2"
"6975","CNOT6"
"6976","SCGB3A1"
"6977","FLT4"
"6978","MGAT1"
"6979","HEIH"
"6980","ZFP62"
"6981","BTNL8"
"6982","BTNL9"
"6983","LINC01962"
"6984","AC008443.5"
"6985","TRIM7"
"6986","TRIM41"
"6987","RACK1"
"6988","AC008443.1"
"6989","TRIM52"
"6990","TRIM52-AS1"
"6991","AC008443.8"
"6992","AC138035.1"
"6993","AL365272.1"
"6994","DUSP22"
"6995","IRF4"
"6996","EXOC2"
"6997","AL031770.1"
"6998","AL357054.2"
"6999","LINC01622"
"7000","AL033381.1"
"7001","AL033381.3"
"7002","FOXQ1"
"7003","FOXCUT"
"7004","FOXC1"
"7005","GMDS"
"7006","AL035693.1"
"7007","GMDS-DT"
"7008","AL031768.2"
"7009","AL031768.1"
"7010","AL359852.2"
"7011","LINC01600"
"7012","MYLK4"
"7013","WRNIP1"
"7014","SERPINB1"
"7015","SERPINB9P1"
"7016","SERPINB6"
"7017","LINC01011"
"7018","NQO2"
"7019","AL133351.1"
"7020","RIPK1"
"7021","AL031963.3"
"7022","BPHL"
"7023","AL031963.1"
"7024","TUBB2A"
"7025","PSMG4"
"7026","SLC22A23"
"7027","AL033523.1"
"7028","PXDC1"
"7029","AL391422.4"
"7030","FAM50B"
"7031","AL590004.3"
"7032","AL138831.1"
"7033","PRPF4B"
"7034","FAM217A"
"7035","C6orf201"
"7036","ECI2"
"7037","AL162718.1"
"7038","CDYL"
"7039","RPP40"
"7040","AL359643.3"
"7041","AL359643.2"
"7042","LYRM4"
"7043","FARS2"
"7044","AL021328.1"
"7045","AL022097.1"
"7046","AL136307.1"
"7047","NRN1"
"7048","F13A1"
"7049","LY86-AS1"
"7050","AL162719.1"
"7051","LY86"
"7052","AL031123.2"
"7053","AL031123.1"
"7054","AL031123.4"
"7055","AL031123.5"
"7056","RREB1"
"7057","AL355336.1"
"7058","SSR1"
"7059","AL139095.4"
"7060","CAGE1"
"7061","RIOK1"
"7062","AL031058.1"
"7063","DSP"
"7064","SNRNP48"
"7065","BMP6"
"7066","TXNDC5"
"7067","BLOC1S5"
"7068","EEF1E1"
"7069","AL355499.1"
"7070","AL359378.1"
"7071","SLC35B3"
"7072","HULC"
"7073","TFAP2A"
"7074","TFAP2A-AS2"
"7075","TFAP2A-AS1"
"7076","GCNT2"
"7077","AL358777.1"
"7078","C6orf52"
"7079","PAK1IP1"
"7080","TMEM14C"
"7081","AL024498.1"
"7082","TMEM14B"
"7083","MAK"
"7084","AL357497.1"
"7085","SYCP2L"
"7086","ELOVL2-AS1"
"7087","SMIM13"
"7088","AL139807.1"
"7089","NEDD9"
"7090","AL445430.2"
"7091","TMEM170B"
"7092","ADTRP"
"7093","AL022724.3"
"7094","AL157373.2"
"7095","HIVEP1"
"7096","EDN1"
"7097","PHACTR1"
"7098","AL008729.1"
"7099","TBC1D7"
"7100","AL008729.2"
"7101","GFOD1"
"7102","SIRT5"
"7103","NOL7"
"7104","RANBP9"
"7105","Z93020.1"
"7106","MCUR1"
"7107","AL023583.1"
"7108","RNF182"
"7109","AL133259.1"
"7110","AL009177.1"
"7111","AL138720.1"
"7112","JARID2"
"7113","DTNBP1"
"7114","AL021978.1"
"7115","MYLIP"
"7116","GMPR"
"7117","ATXN1"
"7118","AL137003.2"
"7119","AL136305.1"
"7120","RBM24"
"7121","CAP2"
"7122","AL138824.1"
"7123","FAM8A1"
"7124","NUP153"
"7125","KIF13A"
"7126","TPMT"
"7127","KDM1B"
"7128","DEK"
"7129","RNF144B"
"7130","MIR548A1HG"
"7131","AL357052.1"
"7132","AL022068.1"
"7133","ID4"
"7134","MBOAT1"
"7135","AL158198.1"
"7136","E2F3"
"7137","E2F3-IT1"
"7138","CDKAL1"
"7139","AL513188.1"
"7140","AL512380.2"
"7141","SOX4"
"7142","CASC15"
"7143","NBAT1"
"7144","AL035401.1"
"7145","AL139231.1"
"7146","NRSN1"
"7147","DCDC2"
"7148","KAAG1"
"7149","MRS2"
"7150","GPLD1"
"7151","ALDH5A1"
"7152","KIAA0319"
"7153","TDP2"
"7154","ACOT13"
"7155","AL031775.1"
"7156","C6orf62"
"7157","GMNN"
"7158","RIPOR2"
"7159","AL133268.4"
"7160","CARMIL1"
"7161","SCGN"
"7162","SLC17A4"
"7163","SLC17A1"
"7164","SLC17A3"
"7165","SLC17A2"
"7166","TRIM38"
"7167","U91328.2"
"7168","U91328.1"
"7169","HIST1H1C"
"7170","HFE"
"7171","HIST1H2BC"
"7172","HIST1H2AC"
"7173","HIST1H1E"
"7174","HIST1H2BD"
"7175","AL353759.1"
"7176","HIST1H2BE"
"7177","HIST1H4H"
"7178","BTN2A2"
"7179","BTN3A1"
"7180","BTN3A3"
"7181","BTN2A1"
"7182","HCG11"
"7183","HMGN4"
"7184","ABT1"
"7185","ZNF322"
"7186","AL513548.4"
"7187","AL513548.1"
"7188","LINC00240"
"7189","AL133255.1"
"7190","AL590062.1"
"7191","PRSS16"
"7192","ZNF391"
"7193","ZNF184"
"7194","AL021918.5"
"7195","AL009179.1"
"7196","HIST1H2BN"
"7197","ZSCAN16-AS1"
"7198","AL121944.1"
"7199","ZNF165"
"7200","ZSCAN16"
