"","c..AL627309.1....AL627309.5....LINC01409....LINC01128....LINC00115..."
"305","AL031428.1"
"306","LUZP1"
"307","LINC01355"
"308","AL109936.6"
"309","HNRNPR"
"310","ZNF436"
"311","ZNF436-AS1"
"312","AL109936.2"
"313","TCEA3"
"314","ASAP3"
"315","ID3"
"316","MDS2"
"317","ELOA-AS1"
"318","ELOA"
"319","PITHD1"
"320","LYPLA2"
"321","GALE"
"322","HMGCL"
"323","FUCA1"
"324","CNR2"
"325","PNRC2"
"326","SRSF10"
"327","AL591178.1"
"328","MYOM3"
"329","IL22RA1"
"330","IFNLR1"
"331","AL138902.1"
"332","GRHL3"
"333","STPG1"
"334","NIPAL3"
"335","RCAN3AS"
"336","RCAN3"
"337","NCMAP-DT"
"338","NCMAP"
"339","SRRM1"
"340","CLIC4"
"341","RUNX3"
"342","AL050344.1"
"343","SYF2"
"344","AL031432.4"
"345","RSRP1"
"346","RHD"
"347","TMEM50A"
"348","RHCE"
"349","MACO1"
"350","LDLRAP1"
"351","AL606491.1"
"352","MAN1C1"
"353","AL031280.1"
"354","SELENON"
"355","AL020996.1"
"356","MTFR1L"
"357","AUNIP"
"358","PAQR7"
"359","STMN1"
"360","PAFAH2"
"361","SLC30A2"
"362","PDIK1L"
"363","FAM110D"
"364","ZNF593"
"365","CNKSR1"
"366","CEP85"
"367","UBXN11"
"368","CRYBG2"
"369","DHDDS"
"370","AL513365.2"
"371","HMGN2"
"372","RPS6KA1"
"373","ARID1A"
"374","PIGV"
"375","ZDHHC18"
"376","SFN"
"377","GPN2"
"378","GPATCH3"
"379","NUDC"
"380","NR0B2"
"381","KDF1"
"382","TRNP1"
"383","TENT5B"
"384","SLC9A1"
"385","WDTC1"
"386","TMEM222"
"387","SYTL1"
"388","MAP3K6"
"389","CD164L2"
"390","GPR3"
"391","WASF2"
"392","FO393419.2"
"393","AHDC1"
"394","FGR"
"395","FAM76A"
"396","STX12"
"397","PPP1R8"
"398","THEMIS2"
"399","RPA2"
"400","SMPDL3B"
"401","AL512288.1"
"402","EYA3"
"403","PTAFR"
"404","DNAJC8"
"405","ATP5IF1"
"406","AL353622.1"
"407","SESN2"
"408","PHACTR4"
"409","RCC1"
"410","TRNAU1AP"
"411","SNHG12"
"412","TAF12"
"413","AL360012.1"
"414","GMEB1"
"415","YTHDF2"
"416","OPRD1"
"417","EPB41"
"418","TMEM200B"
"419","SRSF4"
"420","MECR"
"421","PTPRU"
"422","LINC01648"
"423","MATN1"
"424","MATN1-AS1"
"425","SDC3"
"426","PUM1"
"427","SNRNP40"
"428","ZCCHC17"
"429","AL451070.1"
"430","FABP3"
"431","SERINC2"
"432","LINC01226"
"433","AC114488.1"
"434","TINAGL1"
"435","PEF1"
"436","COL16A1"
"437","ADGRB2"
"438","SPOCD1"
"439","AL136115.2"
"440","PTP4A2"
"441","AL136115.1"
"442","KHDRBS1"
"443","AL445248.1"
"444","TMEM39B"
"445","KPNA6"
"446","AL049795.2"
"447","TXLNA"
"448","CCDC28B"
"449","AL049795.1"
"450","IQCC"
"451","DCDC2B"
"452","TMEM234"
"453","EIF3I"
"454","FAM167B"
"455","LCK"
"456","HDAC1"
"457","MARCKSL1"
"458","TSSK3"
"459","FAM229A"
"460","BSDC1"
"461","ZBTB8B"
"462","ZBTB8A"
"463","ZBTB8OS"
"464","RBBP4"
"465","SYNC"
"466","KIAA1522"
"467","YARS"
"468","S100PBP"
"469","FNDC5"
"470","HPCA"
"471","TMEM54"
"472","AL031602.2"
"473","RNF19B"
"474","AL020995.1"
"475","AK2"
"476","AZIN2"
"477","TRIM62"
"478","AL662907.3"
"479","ZNF362"
"480","A3GALT2"
"481","AL513327.1"
"482","PHC2"
"483","AL513327.2"
"484","ZSCAN20"
"485","CSMD2"
"486","SMIM12"
"487","GJB3"
"488","DLGAP3"
"489","TMEM35B"
"490","ZMYM6"
"491","ZMYM1"
"492","SFPQ"
"493","ZMYM4"
"494","ZMYM4-AS1"
"495","KIAA0319L"
"496","NCDN"
"497","AC004865.2"
"498","TFAP2E"
"499","PSMB2"
"500","C1orf216"
"501","CLSPN"
"502","AGO4"
"503","AGO1"
"504","AL139286.3"
"505","AGO3"
"506","AL138787.2"
"507","TEKT2"
"508","ADPRHL2"
"509","COL8A2"
"510","TRAPPC3"
"511","MAP7D1"
"512","THRAP3"
"513","SH3D21"
"514","EVA1B"
"515","AL591845.1"
"516","STK40"
