Index,Data_Type,Cluster_Label,Silhouette_Score
AL136988.2,Train,0,0.9479169473540675
SLC26A11,Train,0,0.9139226466864989
GDPD2,Train,0,0.9471077207945646
ANGPT2,Train,0,0.9265934561769285
AP005432.1,Train,0,0.9478706740554533
AC107050.1,Train,0,0.9467526522231987
EPB41,Train,0,0.23988687745299472
LINC01144,Train,0,0.9470303625345659
SCX,Train,0,0.9481697697646309
PEX6,Train,0,0.9283639290720617
LRCOL1,Train,0,0.9473917429326226
RPS15,Train,0,0.9425117881022987
PLPP5,Train,0,0.9372684465314532
DOCK8,Train,0,0.39355997131370635
RASSF10-DT,Train,0,0.9468626580734879
AL731533.3,Train,0,0.9469674316793495
ZNF552,Train,0,0.9108346352287235
AGBL4,Train,1,0.46602609671458106
AC104260.1,Train,0,0.9469091315980096
TEF,Train,0,0.9355045948262019
AC124067.2,Train,0,0.946907555047945
UGCG,Train,1,0.36676892122584237
AC093904.4,Train,0,0.947349658510466
AC074032.1,Train,0,0.8387086648342288
AC010343.3,Train,0,0.9472918705185454
LINC02823,Train,0,0.9464979950797554
NUTM2B-AS1,Train,0,0.3130372728597859
USP12-AS2,Train,0,0.946931342546748
AL360091.1,Train,0,0.9463770401194548
AC104232.2,Train,0,0.9464488592580294
AC123912.1,Train,0,0.9412609918474549
INVS,Train,1,0.36511582124364184
RORA-AS2,Train,0,0.9465153803479684
LARP4B,Train,1,0.2865915258909579
AC079949.1,Train,0,0.9473254330120521
NLRX1,Train,0,0.9448300341824489
AC103987.2,Train,0,0.9463722460299078
MINK1,Train,0,0.7987284859448227
AC012325.1,Train,0,0.9464854812425455
AC025164.1,Train,0,0.9464334911097354
DRP2,Train,0,0.9472594458557331
AC006042.2,Train,0,0.9477926069688896
AL133243.2,Train,0,0.9458797871151727
CLUH,Train,0,0.8630729044308821
TUBB4A,Train,0,0.9471333642805277
GPRC5D,Train,0,0.9478650055805657
DMRTC1,Train,0,0.9463875836587998
AL390294.1,Train,0,0.9468901167333351
TMEM252,Train,0,0.9478096839385848
KLHL7-DT,Train,0,0.946657314943854
LINC00491,Train,0,0.9471149459419109
AL354928.1,Train,0,0.9467400785697322
