,PC1,PC2,cluster
HSPA8,10.086219507844207,-2.220204092405626,0
AC027237.2,0.8888578818037948,-0.0961769409181229,0
LINC01967,3.031088780062703,-2.7119394056410187,0
CPNE5,6.103531049034249,-2.105804015383961,0
EMC3,22.126900346711853,-7.478603137328174,0
AL137186.1,0.0577114122712459,-0.0559147464785183,0
ACOX2,8.822771762897519,-5.8781396136704815,0
CFD,0.403657163379542,-0.0470421001272357,0
AF230666.2,0.4511457481122052,-0.1580761514964674,0
TBL1Y,14.160335693129396,3.2364591903399216,0
OR2A42,0.1789216583568034,-0.0959451972078594,0
AF111167.1,1.357614279552719,0.1908574123184261,0
RNLS,64.97130449483035,-19.53112392484332,0
PPIL3,12.918486803148538,-2.67388390487454,0
SOX2,0.0503434332675936,0.002830479833327,0
ILRUN,72.00985706545735,-32.17595359545844,0
AC022140.1,0.0493508573037437,-0.0002154484168953,0
LINC02078,0.108949398578119,-0.1035172332387483,0
AL391988.1,0.3752542221127856,-0.2542393494471101,0
RPA4,0.6599165823263542,-0.5217341882376177,0
FMO3,3.8485764925286,-3.430771814709506,0
SCIN,170.5417071872532,-12.249078484567978,0
AC012511.1,0.0341888219291033,-0.0322310623088437,0
PTS,42.06036454418551,-14.81928105734212,0
EOGT,13.22490729580017,-7.950289912780703,0
SNX9,183.05917816828983,-55.981960347705126,0
HABP4,46.90051502128537,-23.23977161696926,0
ENTPD1,27.23024244592441,-19.466491737464786,0
TAF12,15.266498413503289,-5.535539143731266,0
CACHD1,66.15002924520627,-31.151554068954145,0
LINC00526,0.409267323751892,-0.1905603513833828,0
AC007370.2,1.862166367719104,0.0874770998915477,0
KDM4A,24.25906180779543,-7.468567019342819,0
AL158832.1,0.172164955196183,-0.1411323600392216,0
LRP8,2.3809782087290268,-0.5873007417114257,0
GALNT5,3.4510123197188984,-5.249424399743404,0
AC009053.3,21.3253875344297,-6.064389859035103,0
ZNF674-AS1,0.7326667265774566,-0.1590519839308903,0
AC093909.2,0.2309352666032811,-0.237039654008513,0
RPL35,27.28091506926421,-12.288086159417954,0
DESI1,12.915568369676354,-4.125699360939723,0
C2orf88,9.588962357276056,-2.1779106243833595,0
DOC2B,13.24731836677711,-2.0048560916260385,0
CASC2,59.89346952938978,-8.788534436211345,0
IGF2-AS,0.0364562855269518,-0.0234238882853552,0
NOP16,1.687534524398651,-0.8903719984319388,0
AC068389.3,0.2036697712250205,-0.1034721590288401,0
AC013460.1,1.2626243118058744,-0.2407668242810086,0
CAMKK2,20.22016278047096,-12.07927133556221,0
TSPAN32,0.6811454715173896,-0.4817004406090134,0
PIGC,23.05918763833405,-5.782960439113472,0
MTMR3,113.27365865375263,-58.55324038795988,0
LINC01284,2.955713641805029,0.1554532846679111,0
C11orf97,0.0212365962638619,0.0017418385991352,0
SMIM27,2.089378792277756,-0.5193152028904797,0
STK39,164.5511118245279,-2.200867402484145,0
SNHG6,9.841920668636496,-1.015923454276813,0
CHST15,19.647199764511583,-15.908606027825009,0
AC134349.1,0.0179178186571028,-0.0196375657905622,0
PRIM1,2.539032654056076,-0.5293382192495444,0
FUT11,9.61068237649069,-4.125116957312526,0
DENND3,29.05224911688218,-10.514753746746822,0
AL160408.3,1.4658909806008624,-1.306587368473513,0
SCNM1,2.852244129826322,-0.7947233025281711,0
CDC25B,7.511292630606797,-3.234756602055365,0
CHAF1A,4.781325964168106,-1.414180815351608,0
GCLC,19.7447941478376,-11.084789740152486,0
LINC00504,10.573318222580244,-7.119501014349802,0
PRKAR1B,37.92199594926753,-7.597962559471295,0
AC010547.2,0.0544555121809747,-0.0196199317448451,0
CARNMT1,33.93700430549507,-4.889007602763229,0
DSCAM,4.145147859007432,-0.4695978969486418,0
CDC20,0.1731237855910846,-0.126093322987841,0
GFM2,18.94437669812521,-3.7506688166682105,0
AL035461.2,0.7042839032279028,-0.1099075601917269,0
AL391095.1,0.9749056493506818,-0.1637076164702698,0
LLGL1,0.828248069191125,-0.3677553695408926,0
PUM2,216.74831142156333,-66.37236882329441,0
PSMD6,7.708694068543924,-1.9520502293523645,0
LINC01980,0.3396839866711214,-0.2213568096997587,0
AC131025.3,0.3133916045698953,-0.1599421197883247,0
LINC02200,0.0577432855039223,-0.0131265078875761,0
TMEM70,1.8812006874210725,-0.3751967223113212,0
AC069277.1,18.44903880284312,3.843855412888417,0
HOXA10,6.526329111204529,-2.5096767058153557,0
RAB1A,146.00114039842157,-63.5054870660901,0
AC022144.1,4.76636882566715,-4.877560633995517,0
CLEC11A,3.889481257947813,-1.0953334633426668,0
INTS3,38.21106804628208,-17.397016729777803,0
AC141424.1,0.1623989587859883,-0.0916507917172199,0
SLCO3A1,135.96404568355825,-48.86851485888745,0
AC079385.2,0.0387404864845707,0.0205545011213981,0
MTX3,12.3505760918593,-3.358659811444337,0
HIST1H3C,0.0348618275804768,-0.0252642583167134,0
AC073288.1,0.0141366908580024,0.0044003593184274,0
ZNF280B,1.3738243102761922,-1.3266666749256433,0
FANCB,1.5511812844989017,-0.5267755718293767,0
AC024560.3,0.0217005340483894,0.0046763741158763,0
NAV2-AS4,0.0647204612322904,-0.0344321905550139,0
AC079753.2,0.2047061240238412,0.0974460135809651,0
ADGB,2.0622913192395003,-0.636015228051592,0
NLGN1-AS1,0.2858327207517659,-0.1528864334479469,0
STOM,29.47174464935956,-22.16117305554884,0
AC244035.1,1.6388933285816083,-1.2833995281459325,0
SENP1,26.56210962030279,-8.524490607715252,0
AC080038.2,0.0570000248299094,-0.0393671769768914,0
IGHEP2,0.0305509567841189,-0.0025990229607833,0
AC011595.2,0.1096531015808261,-0.0929546516713263,0
ANTKMT,3.895211525971823,-1.2624590896187853,0
SLC16A8,1.1472994996647254,-0.7221331130576351,0
AL034347.1,0.6226649759298846,0.1335117514790136,0
MAPKAPK5,31.63526995022988,-10.924124909610644,0
LHX1-DT,25.538172181348116,-7.604788820241597,0
AC104841.1,0.0078642080430028,0.0062120947701447,0
AC126696.1,0.179161524368342,-0.0307774192179453,0
GVQW2,2.528711578372248,-0.5014364735632593,0
LINC00449,0.1106917776656371,-0.0218900969715072,0
AC005899.1,1.0701667577813092,-0.2830553844482307,0
LDB2,181.29596344495368,-145.51114008685647,0
AC106864.1,0.0127186243765953,-0.0096801234509119,0
RSRP1,99.58383689477324,-24.0259919968493,0
