,PC1,PC2
AC020584.1,3.2972078888296115,-0.09338536128593894
DNM1P35,1.0925179502120945,-0.574442148018915
MRTFA-AS1,2.110547319945726,-1.0404188095287878
DGKH,269.33410549078116,-184.99904085703471
AL451050.2,0.13890437320917057,-0.014086449541837083
AC245033.2,0.20392105563123944,-0.14078505377502337
TMEM191C,0.5112508726249791,-0.10454814363950006
NOXO1,0.5219875486298573,-0.18444468154977797
ELMOD3,30.737445050268153,-8.892656495022578
AC112503.2,0.14643049404653682,-0.06550076756750602
UBL3,88.65489336297003,-21.697514904026537
ABCA12,3.569469000195057,-1.9131337832153934
AC005912.2,0.3084686581853844,-0.059620007490474164
AC245187.2,6.479753325271291,-0.25385041608324854
C9orf153,5.030333927827546,0.5239013093463519
UBE2R2,131.23072116864557,-58.39333927089249
AL031123.2,0.9411092604335725,0.02664668716986818
AC009061.2,22.104650951171347,-1.2694349201335715
RCC1,5.609909408132566,-4.48460090074623
AAGAB,69.97117306528044,-16.01426542750031
AC015845.1,1.258660114420092,-0.8860680262416502
HNRNPH3,52.527498798047255,-17.249438083669176
CISD1,33.15706579237582,-3.5888110876032027
ZEB1,162.2107562449574,-139.23657185801312
AL031768.2,5.415450523828827,-2.5150613116607063
ZNF224,16.553006127426173,-3.9760027771140347
UBXN6,13.142544934393841,-5.879104268952276
AL390719.2,12.888351277154769,1.8367367206853664
MYBBP1A,7.87718344144263,-3.463916094241637
CREBL2,16.598663282689202,-6.466077506632396
SLC7A6,32.91109289881162,-4.174303819141897
NELL2,6.359281207831915,-3.8689901231547354
PSCA,0.8262290227885689,0.1002533014804909
AC010328.1,0.014707012598437076,0.00468644778675096
GNA12,51.12108580061329,-26.104643123411854
AC024651.1,0.020039553702476304,-0.01550718723080942
ZBED6CL,0.7162999890722752,-0.37416118310377566
RTTN,82.93958778354019,-35.17965813455808
DOCK3,42.58762608239725,11.863006307330522
AC005355.1,0.6163558777148709,-0.21623568514789476
CHMP6,5.305084390934347,-2.264017350903675
PPIB,9.97548226762839,-4.274525100089964
AC073842.1,0.6726705108471638,-0.3483732074075298
FCGRT,16.692343292142272,-7.96649654218274
AC005332.3,2.2692487814901723,-0.7670685423961924
ARNT,62.53439911697177,-28.570607058059053
TNFSF18,0.042190499592263495,-0.05400850984448459
CATSPER1,0.3615233333654928,-0.42233635284640025
AC068446.2,1.1637787791350838,-0.572540475598293
TEX10,22.54754404641002,-7.858396481871366
AL136169.1,3.5715406387582975,-0.40576807243860935
SPDL1,4.157584248443451,-1.8599650239704528
NOP14-AS1,4.860519432866485,-1.5185220824362653
AC055758.2,0.02115703228798531,-0.028795242836340874
AC068790.3,0.24388819356581,-0.17146632945023807
FAM83D,1.7446165987945261,-1.3288300733577305
DLG3,22.885340695297725,-2.6359638671560144
HHIPL1,0.5945734390004185,-0.4859249892405786
AC005082.1,1.7303457934756201,-0.16278616270806062
TBX3,4.744659828621108,-1.6480774829810445
DNAJC17,23.241527215490695,-9.252336153495566
TRDN,1.5898102628222115,-1.1202941202156365
LRIT3,0.9559320436351,0.10709650957589764
METTL6,28.944116131676818,-10.092961377097073
PAPOLB,0.05987704692458911,-0.05023873165715011
MRPL33,63.17221139155868,-15.075975443665863
CIART,0.9114806350136967,-0.37345176426629817
AL008628.1,0.33839977651207387,-0.07606524210803381
FOXP4,8.77874455171753,-4.0457866469522825
A2M,39.60031707743017,-31.999319051317272
AC011841.1,0.03552811679383533,-0.0019062744405032464
RAB18,47.095011807582765,-16.821341794346942
TMEM254,10.991866535273077,-3.475013745233446
AL391056.2,0.6415684297711008,-0.3476342433287206
POMGNT1,17.348603817813064,-9.623946069309227
AC096675.1,0.10403227567994264,-0.08728613394800633
AL021978.1,0.1523401023396851,-0.0766950120984851
AP000477.3,0.09787804966662937,-0.041308048572497494
AC078864.1,8.87107249536462,-2.256873058385107
SRRM5,1.520003416012435,-0.6715419143691053
AC009413.2,0.0609511017073891,-0.034445589588310836
ITGB3BP,35.763403864439496,-9.542452819620786
SLC5A12,229.46626368027043,-169.230579247195
AC107032.2,8.568410815466205,-1.6234202320717814
SCAMP1-AS1,1.3467442321234135,-0.20103329432935463
PCYOX1L,2.0511622511621135,-0.82625550668467
SMYD3,450.43589789763126,-139.73494525048758
TRDN-AS1,0.2037330648450919,-0.14757678711049002
BRD2,40.602584207986375,-13.754138016167563
HNRNPA3,99.65799490257744,-22.64900956932746
AL591069.1,0.8509195923303133,-0.4402794086219731
TRERF1,43.20131923596242,-23.83589533520538
TMEM270,0.010221621684984201,0.004472192521504164
GABARAPL1,46.40124949256117,-3.022579047340407
ZFYVE26,20.54302598689972,-9.391596072288294
AC239868.1,0.2954666211859002,-0.02027047633903131
SNX15,2.7360106074564547,-1.1641026085478021
AC005064.1,0.9382000256374702,-0.738040234186792
CYP2B6,5.203503353608903,-3.2170575371570136
AC007736.1,0.36144986549942604,-0.1560575259478833
RBM6,349.9076342731862,-130.8256753998745
AC015631.1,5.871806751847919,-2.80626749082011
FGF13,230.2208950668885,46.007161493314086
U62317.1,0.05356886537228488,-0.02397719746252626
CHD2,315.75097333122784,-83.17631313887561
NANOS1,0.41703240028018657,-0.18701691810498097
AC004870.4,32.3729767915795,4.144605122028538
AP003128.1,0.16503187524391502,-0.08567740886940511
TSSK3,3.8841625467262415,-0.7168340743442635
AC095057.3,1.6061944669934947,-0.34004001790776306
C11orf53,0.04173988805733409,-0.013540319086483423
RHBDD1,94.15138826773266,-12.632667670595373
TMEM170B,10.348691364580572,-1.78411066487488
AC063976.1,0.08349674876524854,-0.03667643535631469
DNTTIP2,8.005276773340215,-1.4667867324445407
SULT1A1,15.433317095194402,1.9767350700145665
BABAM2,359.4782226513114,-83.29964535905984
JPH4,0.5886781071872379,-0.39677414950395895
AC073593.2,1.1493745703449425,-0.88449436305697
NDUFS3,8.256955318385787,-2.6629929694010257
AC000068.3,0.12004471962327352,0.03174308732128511
AC084880.2,0.16086306219614316,0.015599540853228323
GPRC5B,14.087677312333787,0.5888634766339236
AL355538.1,0.03973082915176733,0.0026529425446853447
AC074194.1,0.5354762268707942,-0.3139889587223807
LAMA5,41.81437412623683,-20.68603165598342
TMEM243,19.492094334409305,-6.816101851999639
BRWD1,211.85717880044214,-46.88779891681389
LINC02258,0.4890271915164507,-1.0174747016676153
CRPPA,102.25478498960851,-46.10073739175138
ZNF319,0.7445492942257624,-0.36518695286383485
C19orf25,22.08878731451382,-9.343259985977294
DBT,30.688159899577833,-3.1273790532532804
AC008763.1,1.0772431500731665,0.19662395360165602
